source,magnitude_log1p
real_ILI_level_breaks,0.274990943835549
real_ILI_level_breaks,0.21642404557888772
real_ILI_level_breaks,0.24562927904766352
real_ILI_level_breaks,0.32510185450872653
real_ILI_level_breaks,0.18443705856977755
real_ILI_level_breaks,0.316647127126107
real_ILI_level_breaks,0.3011169799470381
real_ILI_level_breaks,0.41969183077610817
real_ILI_level_breaks,0.33695006428702134
real_ILI_level_breaks,0.28012948925147363
real_ILI_level_breaks,0.20928548678287018
real_ILI_level_breaks,0.5391090018818891
real_ILI_level_breaks,0.6468844067420243
real_ILI_level_breaks,0.3024925926265436
real_ILI_level_breaks,0.16862005462732244
real_ILI_level_breaks,0.3083208453512135
real_ILI_level_breaks,0.4982317374540325
real_ILI_level_breaks,0.2689545032149221
real_ILI_level_breaks,0.4866737495839404
real_ILI_level_breaks,0.18773232687849117
real_ILI_level_breaks,0.25825016170348225
real_ILI_level_breaks,0.41532408322091774
real_ILI_level_breaks,0.1775021678563915
real_ILI_level_breaks,0.1394258991121189
real_ILI_level_breaks,0.15749631085597637
real_ILI_level_breaks,0.10263516422018815
real_ILI_level_breaks,0.11869368066824859
real_ILI_level_breaks,0.29535303956837944
real_ILI_level_breaks,0.5150048970876601
real_ILI_level_breaks,0.35543391926886164
real_ILI_level_breaks,0.563045110926206
real_ILI_level_breaks,0.5151140706242708
real_ILI_level_breaks,0.3759849321444646
real_ILI_level_breaks,0.38804258261978375
real_ILI_level_breaks,0.6748677211262852
real_ILI_level_breaks,0.34784532787276845
real_ILI_level_breaks,0.31861643951750196
real_ILI_level_breaks,0.1818797942915482
real_ILI_level_breaks,0.22171854753661946
real_ILI_level_breaks,0.2676597938024028
real_ILI_level_breaks,0.38607945454065695
real_ILI_level_breaks,0.2536703436492982
real_ILI_level_breaks,0.19851909017929925
real_ILI_level_breaks,0.20437454591766546
real_ILI_level_breaks,0.31790035096547875
real_ILI_level_breaks,0.20528459835661494
real_ILI_level_breaks,0.09937808921527425
real_ILI_level_breaks,0.3094346690485442
real_ILI_level_breaks,0.3617220243448669
real_ILI_level_breaks,0.5419722988620976
real_ILI_level_breaks,0.3769372047629833
real_ILI_level_breaks,0.41638308554035486
real_ILI_level_breaks,0.9007439255736801
real_ILI_level_breaks,0.24154793563860869
real_ILI_level_breaks,0.6063930632732042
real_ILI_level_breaks,0.955686098100974
real_ILI_level_breaks,0.32921976195978986
real_ILI_level_breaks,0.6427894244146278
real_ILI_level_breaks,0.1486467853023694
real_ILI_level_breaks,0.748478357246449
real_ILI_level_breaks,0.29043652065873327
real_ILI_level_breaks,0.29991519628227936
real_ILI_level_breaks,0.23354305789550356
real_ILI_level_breaks,0.2649189082015162
real_ILI_level_breaks,0.44006794564627394
real_ILI_level_breaks,0.11477448287745284
real_ILI_level_breaks,0.8109754876460167
real_ILI_level_breaks,0.8823763868220369
real_ILI_level_breaks,0.35395157018994094
real_ILI_level_breaks,0.5074532028047511
real_ILI_level_breaks,0.3127829227667591
real_ILI_level_breaks,0.5180204210150152
real_ILI_level_breaks,0.7518331457328943
real_ILI_level_breaks,0.5278442784805433
real_ILI_level_breaks,0.6228434601015724
real_ILI_level_breaks,0.21341116849054553
real_ILI_level_breaks,0.07573695118833146
real_ILI_level_breaks,0.3728822935773727
real_ILI_level_breaks,0.5900684870151888
real_ILI_level_breaks,0.5216830345696013
real_ILI_level_breaks,0.645766633284762
real_ILI_level_breaks,0.594669390533558
real_ILI_level_breaks,0.567689407890815
