family,drift_kind,agent,strength,captured_mean,captured_sd,n_seeds
linked,gradual_beta,meta_online,1.0,1.006570428470139,0.27116807925735475,25
linked,abrupt_beta,meta_online,1.0,0.9936873718782604,0.2730798331358928,25
linked,gradual_rho,meta_online,1.0,1.0395045289968268,0.3855708477665499,25
linked,endogenous_beh,meta_online,1.0,0.8964294821315063,0.39847847897013605,24
linked,abrupt_eps,meta_online,1.0,0.8905210096566318,0.6145725084061574,25
linked,gradual_beta,meta_online,2.0,0.9488666501605758,0.32025968040698666,25
linked,abrupt_beta,meta_online,2.0,0.9463682290624128,0.39284222015008385,25
linked,gradual_rho,meta_online,2.0,0.8176944965229265,0.3155182466124255,25
linked,endogenous_beh,meta_online,2.0,0.7435837109765351,0.9479223159182315,25
linked,abrupt_eps,meta_online,2.0,0.5184379884729294,0.6320204531741398,25
linked,gradual_beta,meta_frozen,1.0,1.0751072542262512,0.20056008923810803,25
linked,abrupt_beta,meta_frozen,1.0,1.0247319576958003,0.2907932422751981,25
linked,gradual_rho,meta_frozen,1.0,1.048464648683674,0.22544503560449344,25
linked,endogenous_beh,meta_frozen,1.0,0.4810564287998691,0.6605614948960272,24
linked,abrupt_eps,meta_frozen,1.0,-0.09165169283912147,1.7738887990668561,25
linked,gradual_beta,meta_frozen,2.0,1.0384037618376776,0.2301419804486371,25
linked,abrupt_beta,meta_frozen,2.0,1.1194789183598424,0.23336201877210935,25
linked,gradual_rho,meta_frozen,2.0,0.9911337851737084,0.13855905484019995,25
linked,endogenous_beh,meta_frozen,2.0,-1.653295452619101,4.036999821827704,25
linked,abrupt_eps,meta_frozen,2.0,-1.4924621967017664,1.6314526496578132,25
action_revealed,gradual_beta,meta_online,1.0,0.6524043239768406,0.522129682825667,25
action_revealed,abrupt_beta,meta_online,1.0,0.4006389490113252,1.443808564328023,25
action_revealed,gradual_rho,meta_online,1.0,0.5303911467748591,0.5476555330285924,25
action_revealed,endogenous_beh,meta_online,1.0,-0.7342713129910987,2.8512765276300445,25
action_revealed,abrupt_eps,meta_online,1.0,-9.990257062565613,33.09964158825728,25
action_revealed,gradual_beta,meta_online,2.0,0.4985851076560618,0.8373521436330964,25
action_revealed,abrupt_beta,meta_online,2.0,0.4433316365188153,0.9059045680727787,25
action_revealed,gradual_rho,meta_online,2.0,0.49948510837456517,0.588581643999201,25
action_revealed,endogenous_beh,meta_online,2.0,1.1468326660650645,18.765519789042987,24
action_revealed,abrupt_eps,meta_online,2.0,-6.497998256003615,11.190247871449005,22
action_revealed,gradual_beta,meta_frozen,1.0,0.5496161326049168,0.5759143768942573,25
action_revealed,abrupt_beta,meta_frozen,1.0,0.5585720722285552,0.7158787934779801,25
action_revealed,gradual_rho,meta_frozen,1.0,0.5152513902231354,0.5143982622416263,25
action_revealed,endogenous_beh,meta_frozen,1.0,-1.5630604047957195,1.9542825595882003,25
action_revealed,abrupt_eps,meta_frozen,1.0,-8.008289500820643,15.313021568098423,25
action_revealed,gradual_beta,meta_frozen,2.0,0.5200382189196842,0.5804053125006859,25
action_revealed,abrupt_beta,meta_frozen,2.0,0.1926888342767436,1.0999061566290522,25
action_revealed,gradual_rho,meta_frozen,2.0,0.6599163748083526,0.41478685405326965,25
action_revealed,endogenous_beh,meta_frozen,2.0,-14.470346080365054,46.88321363781668,24
action_revealed,abrupt_eps,meta_frozen,2.0,-8.854827558061471,10.550808946286729,22
