family,drift_kind,pii_best_return_r2,contrast_online_minus_frozen_post,n_seeds
linked,gradual_beta,0.5911055875922486,-0.020144657499352042,25
linked,abrupt_beta,0.5911055875922486,-0.027431658463005187,25
linked,gradual_rho,0.5911055875922486,0.020254682622358137,25
linked,endogenous_beh,0.5911055875922486,0.5166591309523738,24
linked,abrupt_eps,0.5911055875922486,1.1379806340872805,25
action_revealed,gradual_beta,0.15785056593392063,0.09950147255101756,25
action_revealed,abrupt_beta,0.15785056593392063,-0.05852489487562222,25
action_revealed,gradual_rho,0.15785056593392063,-0.004298310219898642,25
action_revealed,endogenous_beh,0.15785056593392063,0.9023622746847529,25
action_revealed,abrupt_eps,0.15785056593392063,-0.8318300538043013,25
