family,signal,auroc_mean,auroc_sd,n
passive,consistency,0.5197174170512019,0.053481528277309245,275
linked,consistency,0.6142978761267082,0.09597639278301531,268
action_revealed,consistency,0.6055250831262038,0.15656240565013124,259
passive,entropy,0.5757176472353771,0.10034250389801014,275
linked,entropy,0.49835057354875734,0.08620473571108311,268
action_revealed,entropy,0.47937620610515386,0.10972202453153306,259
passive,variance,0.43206709444285324,0.07199321353627453,275
linked,variance,0.6568719852062342,0.08335949137996711,268
action_revealed,variance,0.6649980017473306,0.10748951764542303,259
