sorted_real_level_magnitude_log1p,ecdf
0.07573695118833146,0.00909090909090909
0.09937808921527425,0.01818181818181818
0.10263516422018815,0.02727272727272727
0.11477448287745284,0.03636363636363636
0.11869368066824859,0.045454545454545456
0.1394258991121189,0.05454545454545454
0.1486467853023694,0.06363636363636363
0.15749631085597637,0.07272727272727272
0.16862005462732244,0.08181818181818182
0.1775021678563915,0.09090909090909091
0.1818797942915482,0.1
0.18443705856977755,0.10909090909090909
0.18731368534054416,0.11818181818181818
0.18773232687849117,0.12727272727272726
0.18926306144775884,0.13636363636363635
0.1979244470011594,0.14545454545454545
0.19851909017929925,0.15454545454545454
0.20437454591766546,0.16363636363636364
0.20528459835661494,0.17272727272727273
0.20928548678287018,0.18181818181818182
0.21341116849054553,0.19090909090909092
0.21468485024085218,0.2
0.21642404557888772,0.20909090909090908
0.22171854753661946,0.21818181818181817
0.23354305789550356,0.22727272727272727
0.24154793563860869,0.23636363636363636
0.24562927904766352,0.24545454545454545
0.2536703436492982,0.2545454545454545
0.25825016170348225,0.2636363636363636
0.2649189082015162,0.2727272727272727
0.2676597938024028,0.2818181818181818
0.2689545032149221,0.2909090909090909
0.274990943835549,0.3
0.28012948925147363,0.3090909090909091
0.29043652065873327,0.3181818181818182
0.29535303956837944,0.32727272727272727
0.29991519628227936,0.33636363636363636
0.3011169799470381,0.34545454545454546
0.3024925926265436,0.35454545454545455
0.3030774001453015,0.36363636363636365
0.3062097844414924,0.37272727272727274
0.3083208453512135,0.38181818181818183
0.3094346690485442,0.39090909090909093
0.3127829227667591,0.4
0.316647127126107,0.4090909090909091
0.31790035096547875,0.41818181818181815
0.31861643951750196,0.42727272727272725
0.32510185450872653,0.43636363636363634
0.32532837623493577,0.44545454545454544
0.32921976195978986,0.45454545454545453
0.33695006428702134,0.4636363636363636
0.34784532787276845,0.4727272727272727
0.35395157018994094,0.4818181818181818
0.35543391926886164,0.4909090909090909
0.3617220243448669,0.5
0.3636774788638899,0.509090909090909
0.3728822935773727,0.5181818181818182
0.3759849321444646,0.5272727272727272
0.3769372047629833,0.5363636363636364
0.38607945454065695,0.5454545454545454
0.38804258261978375,0.5545454545454546
0.41211286882538967,0.5636363636363636
0.41532408322091774,0.5727272727272728
0.41638308554035486,0.5818181818181818
0.41969183077610817,0.5909090909090909
0.42333302495464475,0.6
0.44006794564627394,0.6090909090909091
0.4452690790193291,0.6181818181818182
0.44988502202293734,0.6272727272727273
0.4866737495839404,0.6363636363636364
0.4982317374540325,0.6454545454545455
0.5041552865165239,0.6545454545454545
0.5074532028047511,0.6636363636363637
0.5091932473933001,0.6727272727272727
0.5150048970876601,0.6818181818181818
0.5151140706242708,0.6909090909090909
0.5180204210150152,0.7
0.5216830345696013,0.7090909090909091
0.5227163767011096,0.7181818181818181
0.5278442784805433,0.7272727272727273
0.5391090018818891,0.7363636363636363
0.5419722988620976,0.7454545454545455
0.563045110926206,0.7545454545454545
0.567689407890815,0.7636363636363637
0.570647398806618,0.7727272727272727
0.5761620470598108,0.7818181818181819
0.5900684870151888,0.7909090909090909
0.594669390533558,0.8
0.6063930632732042,0.8090909090909091
0.613109743787578,0.8181818181818182
0.6228434601015724,0.8272727272727273
0.6388480608415785,0.8363636363636363
0.6427894244146278,0.8454545454545455
0.6433153095081716,0.8545454545454545
0.645766633284762,0.8636363636363636
0.6468844067420243,0.8727272727272727
0.6603555958999494,0.8818181818181818
0.6658244839464704,0.8909090909090909
0.6748677211262852,0.9
0.748478357246449,0.9090909090909091
0.7518331457328943,0.9181818181818182
0.7549819284807522,0.9272727272727272
0.7995847002459291,0.9363636363636364
0.8063921293241207,0.9454545454545454
0.8109754876460167,0.9545454545454546
0.8389491704745352,0.9636363636363636
0.8823763868220369,0.9727272727272728
0.9007439255736801,0.9818181818181818
0.955686098100974,0.990909090909091
0.95583363844651,1.0
